#The following lines beginning with # are comments. Readable columns names and datatypes are provided as informational comment lines in addition to the database column names.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#If you want to re-upload this table import it as a Generic Table with these header lines unmodified.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#TIC ID, RA, Dec, pmRA, pmDEC, TESS Mag., Object Type, Source of Type, Version, HIP, TYC ID, UCAC ID, 2MASS ID, SDSS ID, ALLWISE ID, GAIA ID, APASS ID, KIC ID, pmRA Err., pmDec Err., Parallax, Parallax Err., B Mag., B Mag. Err., V Mag., V Mag. Err., u Mag., u Mag. Err., g Mag., g Mag. Err., r Mag., r Mag. Err., i Mag., i Mag. Err., z Mag., z Mag. Err., J Mag., J Mag. Err., H Mag., H Mag. Err., K Mag., K Mag. Err., W1 Mag., W1 Mag. Err., W2 Mag., W2 Mag. Err., W3 Mag., W3 Mag. Err., W4 Mag., W4 Mag. Err., GAIA G Mag., GAIA G Mag. Err., TESS Mag. Err., T_eff, T_eff Err., log(g), log(g) Err., Metallicity, Metallicity Err., Stellar Radius, Stellar Radius Err., Stellar Mass, Stellar Mass Err., Luminosity Class from RPM, Stellar Luminosity, Stellar Luminosity Err., Distance, Distance Err., E(B-V), E(B-V) Err., Num. Sources in Aper., Contam. Ratio, Disposition, duplicate_id, priority, eneg_EBV, epos_EBV, EBVflag, eneg_Mass, epos_Mass, eneg_Rad, epos_Rad, eneg_rho, epos_rho, eneg_logg, epos_logg, eneg_lum, epos_lum, eneg_dist, epos_dist, distflag, eneg_Teff, epos_Teff, TeffFlag, gaiabp, e_gaiabp, gaiarp, e_gaiarp, gaiaqflag, starchareFlag, VmagFlag, BmagFlag, splists, e_RA, e_Dec, RA_orig, Dec_orig, e_RA_orig, e_Dec_orig, raddflag, wdflag, MAST Object ID
#@string, ra, dec, float, float, float, string, string, string, string, string, string, string, string, string, string, string, string, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, string, float, float, float, float, float, float, int, float, string, string, float, float, float, string, float, float, float, float, float, float, float, float, float, float, float, float, string, float, float, string, float, float, float, float, int, string, string, string, string, float, float, float, float, float, float, int, int, string
ID,ra,dec,pmRA,pmDEC,Tmag,objType,typeSrc,version,HIP,TYC,UCAC,TWOMASS,SDSS,ALLWISE,GAIA,APASS,KIC,e_pmRA,e_pmDEC,plx,e_plx,Bmag,e_Bmag,Vmag,e_Vmag,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,w1mag,e_w1mag,w2mag,e_w2mag,w3mag,e_w3mag,w4mag,e_w4mag,GAIAmag,e_GAIAmag,e_Tmag,Teff,e_Teff,logg,e_logg,MH,e_MH,rad,e_rad,mass,e_mass,lumclass,lum,e_lum,d,e_d,ebv,e_ebv,numcont,contratio,disposition,duplicate_id,priority,eneg_EBV,epos_EBV,EBVflag,eneg_Mass,epos_Mass,eneg_Rad,epos_Rad,eneg_rho,epos_rho,eneg_logg,epos_logg,eneg_lum,epos_lum,eneg_dist,epos_dist,distflag,eneg_Teff,epos_Teff,TeffFlag,gaiabp,e_gaiabp,gaiarp,e_gaiarp,gaiaqflag,starchareFlag,VmagFlag,BmagFlag,splists,e_RA,e_Dec,RA_orig,Dec_orig,e_RA_orig,e_Dec_orig,raddflag,wdflag,objID
44634692,22.46402425,31.00733516,227.777,1.00391,7.2992,STAR,tmgaia2,20190415,6978,2292-00876-1,606-004001,01295133+3100263,,J012951.54+310026.4,3.15378E+17,49683296,,0.103019,0.0810868,23.0594,0.04775,8.974,0.119,7.93,0.03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.682,0.02,6.421,0.023,6.344,0.023,6.292,0.08,6.274,0.025,6.356,0.015,6.327,0.049,7.75003,0.000346,0.006,5655.47,105.429,4.35383,0.0738684,0.315882,0.0257248,1.10184,0.0455879,1,0.128091,DWARF,1.118939,0.02589215,43.3121,0.09025,0,0,56,0.005224613,,,0.005544789,0,0,,0.123796,0.132386,0.0341678,0.057008,0.160387,0.132816,0.0933785,0.0543583,0.0290601,0.0227242,0.0901,0.0904,bj2018,113.907,96.9514,spect,8.12668,0.003484,7.26518,0.002651,1,,hipvmag,apassdr9,planetcandidate,1.657857724,1.257415693,22.46516846,31.00733948,0.050430257,0.03786643,1,0,20625763
279209741,25.40720838,66.90994226,692.707,-265.728,7.0684,STAR,tmgaia2,20190415,7902,4043-00713-1,785-005552,01413768+6654359,,,5.19478E+17,,,0.0424251,0.0442585,26.6409,0.0296007,8.386,0.0573498,7.697,0.017,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.45,0.024,6.112,0.026,6.063,0.018,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.51944,0.0002,0.006,5650,142.951,4.38517,0.0886104,-0.03,0.1,1.06279,0.0611533,1,0.133789,DWARF,1.037008,0.0246474,37.4955,0.04195,0,0,455,0.004598725,,,0.000758433,0,0,,0.139651,0.127928,0.0581186,0.0641879,0.146752,0.268119,0.0959802,0.0812406,0.0261146,0.0231802,0.0419,0.042,bj2018,113.15,172.751,spect,7.89139,0.001023,7.0295,0.001488,1,,mermil,mermil,planetcandidate,0.788497646,0.686367784,25.41481332,66.90879833,0.022759091,0.022259254,1,0,23469947
60959951,29.19693036,23.05113671,-83.5309,-16.9569,7.2041,STAR,tmgaia2,20190415,9073,1757-00372-1,566-003818,01564728+2303041,,J015647.19+230303.8,9.86926E+16,,,0.081502,0.0694991,29.3908,0.0412259,8.548,0.026,7.85,0.03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.567,0.02,6.281,0.021,6.188,0.018,6.175,0.102,6.092,0.029,6.207,0.015,6.167,0.043,7.6619,0.000342,0.006,5626,109.584,4.5192,0.0716467,0.01,0.1,0.910824,0.0414573,1,0.122544,DWARF,0.7487947,0.01768645,33.9908,0.048,0,0,32,0.04010863,,,0.007248247,0,0,,0.0945681,0.15052,0.0477608,0.0351538,0.216585,0.288727,0.0790437,0.0642496,0.0137876,0.0215853,0.0479,0.0481,bj2018,93.0775,126.091,spect,8.0419,0.002293,7.16634,0.001712,1,,hipvmag,tycho2b3,planetcandidate,1.289931627,1.077706142,29.19653951,23.0510637,0.041048957,0.031827988,1,0,27086226
118268680,31.14286814,25.4143095,-108.181,-173.335,6.7944,STAR,tmgaia2,20190415,9683,1761-00192-1,578-004514,02043429+2524516,,J020434.19+252449.6,1.05333E+17,,,0.089332,0.0889099,26.3927,0.0437412,8.156,0.023,7.43,0.03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.182,0.019,5.896,0.021,5.861,0.024,5.794,0.139,5.732,0.049,5.846,0.015,5.783,0.044,7.24746,0.00037,0.006,5655,104.373,4.2698,0.0707132,0.3,0.1,1.21377,0.0514899,1,0.126219,DWARF,1.357367,0.0318669,37.8478,0.06315,0,0,41,0.000920135,,,0.005125749,0,0,,0.117835,0.134603,0.0313769,0.071603,0.094674,0.120825,0.0875185,0.0539079,0.0323907,0.0313431,0.063,0.0633,bj2018,104.017,104.729,spect,7.62857,0.00312,6.7626,0.004416,1,,hipvmag,tycho2b3,planetcandidate,1.419999027,1.37853303,31.14235245,25.4135632,0.0409146,0.034412147,1,0,28853233
405402498,31.73594046,29.863043,49.4805,-28.9387,9.4144,STAR,tmgaia2,20190415,,1764-01531-1,600-005602,02065663+2951469,,J020656.66+295146.6,3.00364E+17,47908073,,0.110076,0.197001,10.1284,0.0641033,10.745,0.067,10.022,0.005,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.807,0.03,8.452,0.033,8.413,0.024,8.36,0.023,8.417,0.02,8.387,0.022,8.326,0.319,9.8728,0.000472,0.006,5647.27,114.976,4.48714,0.0740402,0.214,0.017,0.945066,0.0445854,1,0.121004,DWARF,0.8184143,0.02220595,98.457,0.62615,0,0,53,0.002010897,,,0.003033318,0,0,,0.108038,0.13397,0.0370854,0.0520854,0.246921,0.238776,0.065515,0.0825653,0.0210185,0.0233934,0.6222,0.6301,bj2018,106.799,123.152,spect,10.2535,0.004042,9.37667,0.003823,1,,tycho2v3,tycho2b3,planetcandidate,1.766326893,3.054376472,31.73618612,29.8629184,0.043103635,0.072517074,1,0,29139150
250661921,32.70864337,50.14705893,11.4446,-97.8183,9.4998,STAR,tmgaia2,20190415,,3289-01483-1,701-015689,02105006+5008495,,J021050.08+500848.4,3.58295E+17,56548850,,0.0676507,0.0743016,10.3026,0.0362592,10.629,0.066,10.054,0.005,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.874,0.023,8.537,0.021,8.492,0.02,8.457,0.023,8.491,0.019,8.463,0.023,8.612,0.42,9.93173,0.000317,0.006,5638.59,108.169,4.52245,0.0726907,-0.482,0.025,0.907417,0.0405678,1,0.1275,DWARF,0.7498778,0.01838135,96.7924,0.3423,0,0,294,0.03428298,,,0.003466648,0,0,,0.115876,0.139124,0.0364025,0.0447332,0.255067,0.273287,0.0769483,0.0684331,0.0151182,0.0216445,0.3411,0.3435,bj2018,103.6,112.737,spect,10.2743,0.000831,9.45112,0.001139,1,,tycho2v3,tycho2b3,planetcandidate,1.158043472,1.152079094,32.70872027,50.14663777,0.029080791,0.030518757,1,0,29849856
293067981,35.6804817,45.44002988,50.6453,-56.1065,9.5869,STAR,tmgaia2,20190415,,3294-00436-1,678-013150,02224330+4526242,,J022243.36+452623.5,3.53557E+17,53410652,,0.0842752,0.0765899,10.4805,0.0512568,11.01,0.086,10.244,0.006,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.941,0.021,8.647,0.026,8.546,0.018,8.503,0.023,8.54,0.021,8.506,0.026,8.893,0.489,10.0432,0.000822,0.0061,5644.24,145.762,4.58359,0.0852074,-0.091,0.022,0.845744,0.049402,1,0.125601,DWARF,0.6540247,0.0169338,95.1562,0.46765,0,0,183,0.07590019,,,0.003506839,0,0,,0.144108,0.107094,0.0494065,0.0493975,0.373676,0.416767,0.094959,0.0754557,0.0147131,0.0191545,0.4654,0.4699,bj2018,155.635,135.888,spect,10.4153,0.001797,9.54267,0.001265,1,,tycho2v3,tycho2b3,planetcandidate,1.417126103,1.187696297,35.68079248,45.43978832,0.052496063,0.036234282,1,0,32500473
381808486,41.71141203,39.32389594,44.5504,-52.8765,8.4995,STAR,tmgaia2,20190415,,2845-01687-1,647-010662,02465073+3919261,,J024650.77+391925.4,3.35607E+17,50228077,,0.105358,0.0962456,13.0684,0.08066,9.776,0.041,9.047,0.003,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.907,0.041,7.637,0.075,7.539,0.021,7.5,0.028,7.555,0.02,7.565,0.019,7.514,0.125,8.94303,0.000329,0.006,5635.48,137.689,4.3316,0.0798217,0.23,0.013,1.1304,0.0624045,1,0.125915,DWARF,1.161131,0.03196275,76.3566,0.4738,0,0,124,0.001475359,,,0.003745737,0,0,,0.0965638,0.155267,0.0514075,0.0734015,0.176248,0.139869,0.0884223,0.071221,0.0342699,0.0296556,0.4709,0.4767,bj2018,119.825,155.553,spect,9.30253,0.00204,8.45599,0.001156,1,,tycho2v3,tycho2b3,planetcandidate,1.735525445,1.492390952,41.71165999,39.32366827,0.068844672,0.041751957,1,0,38109794
34691643,45.60844285,26.60923894,233.122,-168.438,5.991,STAR,tmgaia2,20190415,14150,1790-00948-1,584-007142,03022598+2636334,,,1.15311E+17,46645731,,0.119705,0.12425,47.1551,0.0603404,7.332,0.022,6.616,0.022,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.34,0.021,5.024,0.015,4.951,0.016,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.44262,0.000347383,0.0061,5648,102.63,4.44938,0.0720976,0.08,0.1,0.987061,0.0413668,1,0.127775,DWARF,0.8932262,0.02093465,21.1936,0.0273,0,0,64,0.002454225,,,0.007614943,0,0,,0.142498,0.113051,0.0383724,0.0443613,0.195886,0.210482,0.0748226,0.0693726,0.0256504,0.0162189,0.0272,0.0274,bj2018,104.488,100.771,spect,6.8157,0.001285,5.95259,0.003425,1,,mermil,mermil,planetcandidate,1.907172561,1.926346177,45.60956547,26.60851373,0.046841645,0.042603732,1,0,41312970
426471754,48.93682912,18.48469831,1.56843,-37.61,8.9496,STAR,tmgaia2,20190415,,1236-00741-1,543-006319,03154483+1829046,,J031544.84+182904.5,5.9132E+16,42878886,,0.0950752,0.0750449,13.4543,0.0451574,10.266,0.068,9.59,0.005,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.305,0.02,8.003,0.031,7.914,0.02,7.885,0.037,7.921,0.03,7.907,0.026,8.082,0.248,9.41062,0.000296,0.006,5647.07,105.14,4.54787,0.0719263,0.081,0.017,0.881245,0.0381658,1,0.126188,DWARF,0.7115091,0.0180814,74.1676,0.25025,0,0,39,0.000613049,,,0,0,0,,0.132791,0.119585,0.0431176,0.0332141,0.318982,0.258674,0.074197,0.0696556,0.0160756,0.0200872,0.2494,0.2511,bj2018,87.2157,123.065,spect,9.79068,0.002857,8.90848,0.002984,1,,tycho2v3,tycho2b3,planetcandidate,1.493596976,1.16360708,48.93683624,18.48453638,0.040481309,0.030929233,1,0,44229495
